日付,方法,カテゴリ,カテゴリの内訳,支払元,入金先,品目,メモ,お店,通貨,収入,支出,振替,残高調整,通貨変換前の金額,集計の設定
2022-12-22,payment,日用雑貨,消耗品,-,-,,,-,（プレミアム会員で表示）,0,1650,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）
2022-12-22,payment,食費,食料品,-,-,,,-,（プレミアム会員で表示）,0,359,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）
2022-12-23,income,その他,-,-,-,,メルカリ,-,（プレミアム会員で表示）,10950,0,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）
2022-12-24,payment,食費,食料品,-,-,,,-,（プレミアム会員で表示）,0,359,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）
2022-12-24,payment,食費,食料品,-,-,,,-,（プレミアム会員で表示）,0,193,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）
2022-12-24,payment,交際費,飲み会,-,-,,,-,（プレミアム会員で表示）,0,1399,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）
2022-12-25,income,その他,-,-,-,,麻雀,-,（プレミアム会員で表示）,286,0,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）
2022-12-27,payment,住まい,家賃,-,-,,,-,（プレミアム会員で表示）,0,52118,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）
2022-12-27,payment,水道・光熱,水道料金,-,-,,,-,（プレミアム会員で表示）,0,2005,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）
2022-12-27,payment,水道・光熱,電気料金,-,-,,,-,（プレミアム会員で表示）,0,2321,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）
2022-12-27,payment,水道・光熱,ガス料金,-,-,,,-,（プレミアム会員で表示）,0,4419,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）
2022-12-28,income,給与所得,-,-,-,,,-,（プレミアム会員で表示）,61645,0,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）
2022-12-28,payment,住まい,家電,-,-,,,-,（プレミアム会員で表示）,0,2000,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）
2022-12-28,payment,食費,食料品,-,-,,,-,（プレミアム会員で表示）,0,768,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）
2022-12-29,payment,エンタメ,その他,-,-,,ブログ,-,（プレミアム会員で表示）,0,13200,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）
2022-12-29,payment,クルマ,ガソリン,-,-,,,-,（プレミアム会員で表示）,0,1000,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）
2022-12-30,payment,エンタメ,漫画,-,-,,自炊代行,-,（プレミアム会員で表示）,0,19574,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）
2022-12-31,payment,その他,COZUCHI,-,-,,,-,（プレミアム会員で表示）,0,100000,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）
2022-12-31,income,その他,-,-,-,,セルフバック,-,（プレミアム会員で表示）,8613,0,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）
2023-01-02,payment,交際費,プレゼント,-,-,,お年玉,-,（プレミアム会員で表示）,0,3000,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）
2023-01-02,payment,交際費,飲み会,-,-,,,-,（プレミアム会員で表示）,0,4202,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）
2023-01-02,payment,エンタメ,"カラオケ ボーリング",-,-,,,-,（プレミアム会員で表示）,0,2400,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）
2023-01-03,payment,日用雑貨,消耗品,-,-,,,-,（プレミアム会員で表示）,0,4386,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）
2023-01-04,payment,エンタメ,漫画,-,-,,,-,（プレミアム会員で表示）,0,1045,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）
2023-01-04,payment,エンタメ,書籍,-,-,,,-,（プレミアム会員で表示）,0,2156,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）
2023-01-05,payment,食費,食料品,-,-,,,-,（プレミアム会員で表示）,0,1298,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）
2023-01-06,income,給与所得,-,-,-,,,-,（プレミアム会員で表示）,85275,0,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）
2023-01-06,payment,美容・衣服,洋服,-,-,,"utusiyo メッシュ ロンT",-,（プレミアム会員で表示）,0,3900,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）
2023-01-07,payment,食費,食料品,-,-,,,-,（プレミアム会員で表示）,0,967,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）
2023-01-10,payment,食費,食料品,-,-,,,-,（プレミアム会員で表示）,0,604,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）
2023-01-12,payment,食費,食料品,-,-,,,-,（プレミアム会員で表示）,0,938,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）
2023-01-12,payment,その他,ETF,-,-,,,-,（プレミアム会員で表示）,0,26667,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）
2023-01-13,payment,その他,積立NISA,-,-,,,-,（プレミアム会員で表示）,0,33333,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）
2023-01-13,payment,水道・光熱,ガス料金,-,-,,,-,（プレミアム会員で表示）,0,4565,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）
2023-01-14,payment,その他,BTC,-,-,,,-,（プレミアム会員で表示）,0,500,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）
2023-01-15,payment,日用雑貨,消耗品,-,-,,,-,（プレミアム会員で表示）,0,969,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）
2023-01-15,payment,食費,食料品,-,-,,,-,（プレミアム会員で表示）,0,666,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）
2023-01-16,payment,食費,食料品,-,-,,,-,（プレミアム会員で表示）,0,360,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）
2023-01-18,payment,クルマ,ガソリン,-,-,,,-,（プレミアム会員で表示）,0,3000,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）
2023-01-19,payment,エンタメ,漫画,-,-,,,-,（プレミアム会員で表示）,0,784,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）
2023-01-20,income,給与所得,-,-,-,,,-,（プレミアム会員で表示）,194072,0,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）
2023-01-23,payment,食費,食料品,-,-,,,-,（プレミアム会員で表示）,0,726,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）
2023-01-24,payment,食費,食料品,-,-,,,-,（プレミアム会員で表示）,0,129,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）
2023-01-24,payment,食費,食料品,-,-,,,-,（プレミアム会員で表示）,0,540,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）
2023-01-25,payment,水道・光熱,水道料金,-,-,,,-,（プレミアム会員で表示）,0,1973,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）
2023-01-27,payment,住まい,家賃,-,-,,,-,（プレミアム会員で表示）,0,52118,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）
2023-01-28,income,その他,-,-,-,,麻雀,-,（プレミアム会員で表示）,4800,0,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）
2023-01-29,payment,食費,食料品,-,-,,,-,（プレミアム会員で表示）,0,476,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）
2023-01-29,payment,日用雑貨,消耗品,-,-,,,-,（プレミアム会員で表示）,0,499,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）
2023-01-30,payment,食費,食料品,-,-,,,-,（プレミアム会員で表示）,0,1216,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）
2023-01-30,payment,水道・光熱,電気料金,-,-,,,-,（プレミアム会員で表示）,0,2412,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）
2023-01-31,income,給与所得,-,-,-,,,-,（プレミアム会員で表示）,25050,0,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）
2023-02-01,payment,食費,食料品,-,-,,,-,（プレミアム会員で表示）,0,1630,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）
2023-02-02,payment,食費,食料品,-,-,,,-,（プレミアム会員で表示）,0,451,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）
2023-02-07,payment,食費,食料品,-,-,,,-,（プレミアム会員で表示）,0,955,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）
2023-02-09,payment,食費,食料品,-,-,,,-,（プレミアム会員で表示）,0,382,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）
2023-02-09,payment,日用雑貨,消耗品,-,-,,,-,（プレミアム会員で表示）,0,199,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）
2023-02-10,payment,美容・衣服,アクセサリー・小物,-,-,,"UNIQLO バック #自己投資",-,（プレミアム会員で表示）,0,2990,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）
2023-02-11,payment,クルマ,ガソリン,-,-,,,-,（プレミアム会員で表示）,0,3000,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）
2023-02-11,income,その他,-,-,-,,麻雀,-,（プレミアム会員で表示）,9200,0,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）
2023-02-14,payment,食費,食料品,-,-,,,-,（プレミアム会員で表示）,0,581,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）
2023-02-14,income,その他,-,-,-,,"楽天ポイント カード利用",-,（プレミアム会員で表示）,3227,0,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）
2023-02-14,payment,その他,積立NISA,-,-,,,-,（プレミアム会員で表示）,0,33333,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）
2023-02-17,payment,日用雑貨,消耗品,-,-,,化粧水,-,（プレミアム会員で表示）,0,980,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）
2023-02-17,payment,食費,食料品,-,-,,,-,（プレミアム会員で表示）,0,108,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）
2023-02-19,payment,日用雑貨,消耗品,-,-,,,-,（プレミアム会員で表示）,0,300,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）
2023-02-19,payment,水道・光熱,ガス料金,-,-,,,-,（プレミアム会員で表示）,0,4637,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）
2023-02-20,payment,食費,食料品,-,-,,,-,（プレミアム会員で表示）,0,1534,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）
2023-02-20,payment,住まい,家電,-,-,,タイマー,-,（プレミアム会員で表示）,0,5990,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）
2023-02-20,payment,エンタメ,漫画,-,-,,,-,（プレミアム会員で表示）,0,563,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）
2023-02-21,income,給与所得,-,-,-,,,-,（プレミアム会員で表示）,210452,0,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）
2023-02-21,payment,その他,ETF,-,-,,,-,（プレミアム会員で表示）,0,26667,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）
2023-02-21,payment,日用雑貨,消耗品,-,-,,,-,（プレミアム会員で表示）,0,319,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）
2023-02-21,payment,食費,食料品,-,-,,,-,（プレミアム会員で表示）,0,331,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）
2023-02-21,payment,エンタメ,漫画,-,-,,,-,（プレミアム会員で表示）,0,711,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）
2023-02-22,income,その他,-,-,-,,"スマホケース レビューのお礼",-,（プレミアム会員で表示）,690,0,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）
2023-02-22,payment,美容・衣服,洋服,-,-,,マネークリップ、ネクタイピン,-,（プレミアム会員で表示）,0,2400,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）
2023-02-25,payment,交際費,飲み会,-,-,,,-,（プレミアム会員で表示）,0,3000,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）
2023-02-26,payment,食費,昼ご飯,-,-,,,-,（プレミアム会員で表示）,0,880,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）
2023-02-27,payment,住まい,家賃,-,-,,,-,（プレミアム会員で表示）,0,52118,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）
2023-02-27,payment,水道・光熱,水道料金,-,-,,,-,（プレミアム会員で表示）,0,2005,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）
2023-02-27,payment,食費,食料品,-,-,,,-,（プレミアム会員で表示）,0,428,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）
2023-02-28,payment,水道・光熱,電気料金,-,-,,,-,（プレミアム会員で表示）,0,1849,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）
2023-03-02,payment,エンタメ,漫画,-,-,,,-,（プレミアム会員で表示）,0,685,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）
2023-03-02,payment,住まい,家電,-,-,,周辺機器,-,（プレミアム会員で表示）,0,13456,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）
2023-03-02,payment,その他,ETF,-,-,,,-,（プレミアム会員で表示）,0,26667,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）
2023-03-03,payment,食費,食料品,-,-,,,-,（プレミアム会員で表示）,0,714,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）
2023-03-04,payment,クルマ,ガソリン,-,-,,,-,（プレミアム会員で表示）,0,1000,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）
2023-03-04,payment,エンタメ,サークル,-,-,,,-,（プレミアム会員で表示）,0,1000,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）
2023-03-04,payment,交際費,飲み会,-,-,,,-,（プレミアム会員で表示）,0,5860,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）
2023-03-05,payment,美容・衣服,美容院,-,-,,,-,（プレミアム会員で表示）,0,3100,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）
2023-03-05,payment,食費,食料品,-,-,,,-,（プレミアム会員で表示）,0,461,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）
2023-03-11,payment,交通,バス,-,-,,東京行き,-,（プレミアム会員で表示）,0,9800,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）
2023-03-11,payment,住まい,家賃,-,-,,"東京 初期費用",-,（プレミアム会員で表示）,0,52300,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）
2023-03-14,payment,水道・光熱,ガス料金,-,-,,,-,（プレミアム会員で表示）,0,5436,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）
2023-03-15,payment,エンタメ,漫画,-,-,,,-,（プレミアム会員で表示）,0,536,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）
2023-03-15,payment,エンタメ,漫画,-,-,,,-,（プレミアム会員で表示）,0,497,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）
2023-03-15,income,その他,-,-,-,,"Amazonギフト券 (においばあ)",-,（プレミアム会員で表示）,10000,0,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）
2023-03-17,payment,食費,食料品,-,-,,,-,（プレミアム会員で表示）,0,349,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）
2023-03-19,payment,クルマ,ガソリン,-,-,,,-,（プレミアム会員で表示）,0,2000,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）
2023-03-20,payment,その他,積立NISA,-,-,,,-,（プレミアム会員で表示）,0,33333,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）
2023-03-20,income,給与所得,-,-,-,,,-,（プレミアム会員で表示）,208872,0,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）
2023-03-23,payment,食費,晩ご飯,-,-,,,-,（プレミアム会員で表示）,0,880,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）
2023-03-24,income,その他,-,-,-,,数学会費返却,-,（プレミアム会員で表示）,13850,0,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）
2023-03-24,income,その他,-,-,-,,"渡辺先生 餞別",-,（プレミアム会員で表示）,5000,0,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）
2023-03-24,income,その他,-,-,-,,清香会,-,（プレミアム会員で表示）,6000,0,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）
2023-03-24,payment,交際費,飲み会,-,-,,,-,（プレミアム会員で表示）,0,4500,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）
2023-03-25,payment,交際費,奢り,-,-,,ようせい,-,（プレミアム会員で表示）,0,3000,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）
2023-03-25,payment,交際費,飲み会,-,-,,,-,（プレミアム会員で表示）,0,1220,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）
2023-03-25,payment,食費,昼ご飯,-,-,,,-,（プレミアム会員で表示）,0,218,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）
2023-03-25,payment,交際費,飲み会,-,-,,,-,（プレミアム会員で表示）,0,2500,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）
2023-03-25,payment,エンタメ,ゲーム,-,-,,麻雀,-,（プレミアム会員で表示）,0,2500,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）
2023-03-26,payment,エンタメ,ゲーム,-,-,,,-,（プレミアム会員で表示）,0,10300,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）
2023-03-26,payment,食費,晩ご飯,-,-,,,-,（プレミアム会員で表示）,0,95,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）
2023-03-27,payment,日用雑貨,消耗品,-,-,,,-,（プレミアム会員で表示）,0,220,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）
2023-03-27,payment,日用雑貨,消耗品,-,-,,,-,（プレミアム会員で表示）,0,220,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）
2023-03-27,payment,水道・光熱,電気料金,-,-,,,-,（プレミアム会員で表示）,0,1659,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）
2023-03-27,payment,水道・光熱,水道料金,-,-,,,-,（プレミアム会員で表示）,0,2005,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）
2023-03-29,payment,交通,Suica,-,-,,,-,（プレミアム会員で表示）,0,1000,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）
2023-03-29,payment,食費,食料品,-,-,,,-,（プレミアム会員で表示）,0,160,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）
2023-03-29,income,その他,-,-,-,,餞別,-,（プレミアム会員で表示）,80000,0,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）
2023-03-30,payment,交通,Suica,-,-,,,-,（プレミアム会員で表示）,0,138,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）
2023-03-30,payment,住まい,家具,-,-,,布団,-,（プレミアム会員で表示）,0,4999,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）
2023-03-31,income,その他,-,-,-,,"楽天カード ポイント利用",-,（プレミアム会員で表示）,4513,0,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）
2023-03-31,payment,交通,Suica,-,-,,,-,（プレミアム会員で表示）,0,2885,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）
2023-03-31,payment,交際費,飲み会,-,-,,,-,（プレミアム会員で表示）,0,7500,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）
2023-03-31,payment,水道・光熱,電気料金,-,-,,,-,（プレミアム会員で表示）,0,597,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）
2023-03-31,payment,水道・光熱,水道料金,-,-,,,-,（プレミアム会員で表示）,0,5355,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）
2023-03-31,payment,水道・光熱,ガス料金,-,-,,,-,（プレミアム会員で表示）,0,4202,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）
2023-04-01,payment,日用雑貨,消耗品,-,-,,,-,（プレミアム会員で表示）,0,220,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）
2023-04-02,payment,食費,昼ご飯,-,-,,,-,（プレミアム会員で表示）,0,429,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）
2023-04-02,payment,食費,カフェ,-,-,,,-,（プレミアム会員で表示）,0,350,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）
2023-04-02,payment,日用雑貨,消耗品,-,-,,,-,（プレミアム会員で表示）,0,330,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）
2023-04-02,payment,食費,食料品,-,-,,,-,（プレミアム会員で表示）,0,201,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）
2023-04-02,payment,食費,食料品,-,-,,,-,（プレミアム会員で表示）,0,512,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）
2023-04-02,payment,食費,食料品,-,-,,,-,（プレミアム会員で表示）,0,672,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）
2023-04-02,payment,日用雑貨,消耗品,-,-,,,-,（プレミアム会員で表示）,0,220,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）
2023-04-03,payment,食費,食料品,-,-,,,-,（プレミアム会員で表示）,0,238,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）
2023-04-04,payment,食費,食料品,-,-,,,-,（プレミアム会員で表示）,0,222,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）
2023-04-04,payment,日用雑貨,消耗品,-,-,,,-,（プレミアム会員で表示）,0,110,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）
2023-04-04,income,給与所得,-,-,-,,,-,（プレミアム会員で表示）,1216,0,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）
2023-04-05,payment,食費,食料品,-,-,,,-,（プレミアム会員で表示）,0,211,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）
