日付,方法,カテゴリ,カテゴリの内訳,支払元,入金先,品目,メモ,お店,通貨,収入,支出,振替,残高調整,通貨変換前の金額,集計の設定
2022-04-24,payment,美容・衣服,洋服,-,-,,,-,（プレミアム会員で表示）,0,5281,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）
2022-04-24,payment,食費,食料品,-,-,,,-,（プレミアム会員で表示）,0,215,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）
2022-04-24,payment,食費,食料品,-,-,,,-,（プレミアム会員で表示）,0,432,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）
2022-04-25,payment,食費,食料品,-,-,,,-,（プレミアム会員で表示）,0,348,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）
2022-04-26,payment,クルマ,ガソリン,-,-,,,-,（プレミアム会員で表示）,0,2000,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）
2022-04-26,payment,教育・教養,Udemy,-,-,,,-,（プレミアム会員で表示）,0,1600,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）
2022-04-27,payment,エンタメ,漫画,-,-,,,-,（プレミアム会員で表示）,0,63,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）
2022-04-27,payment,食費,食料品,-,-,,,-,（プレミアム会員で表示）,0,1095,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）
2022-04-27,payment,水道・光熱,電気料金,-,-,,,-,（プレミアム会員で表示）,0,1489,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）
2022-04-27,payment,水道・光熱,ガス料金,-,-,,,-,（プレミアム会員で表示）,0,5354,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）
2022-04-27,payment,住まい,家賃,-,-,,,-,（プレミアム会員で表示）,0,68118,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）
2022-04-28,payment,交際費,飲み会,-,-,,,-,（プレミアム会員で表示）,0,453,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）
2022-04-28,payment,交際費,飲み会,-,-,,,-,（プレミアム会員で表示）,0,510,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）
2022-04-29,payment,交際費,飲み会,-,-,,,-,（プレミアム会員で表示）,0,1050,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）
2022-05-01,payment,食費,食料品,-,-,,,-,（プレミアム会員で表示）,0,165,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）
2022-05-01,payment,エンタメ,ゲーム,-,-,,マーダー,-,（プレミアム会員で表示）,0,1000,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）
2022-05-02,payment,エンタメ,ゲーム,-,-,,雀荘,-,（プレミアム会員で表示）,0,1100,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）
2022-05-02,payment,交際費,飲み会,-,-,,,-,（プレミアム会員で表示）,0,5144,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）
2022-05-03,payment,エンタメ,漫画,-,-,,,-,（プレミアム会員で表示）,0,1953,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）
2022-05-04,payment,交際費,飲み会,-,-,,,-,（プレミアム会員で表示）,0,1760,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）
2022-05-05,payment,エンタメ,漫画,-,-,,,-,（プレミアム会員で表示）,0,1709,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）
2022-05-05,payment,食費,食料品,-,-,,,-,（プレミアム会員で表示）,0,167,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）
2022-05-05,payment,日用雑貨,消耗品,-,-,,,-,（プレミアム会員で表示）,0,599,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）
2022-05-06,payment,交際費,飲み会,-,-,,,-,（プレミアム会員で表示）,0,6000,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）
2022-05-06,payment,エンタメ,ゲーム,-,-,,麻雀,-,（プレミアム会員で表示）,0,1140,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）
2022-05-07,payment,食費,食料品,-,-,,,-,（プレミアム会員で表示）,0,105,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）
2022-05-07,payment,食費,食料品,-,-,,,-,（プレミアム会員で表示）,0,1276,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）
2022-05-07,payment,エンタメ,漫画,-,-,,,-,（プレミアム会員で表示）,0,1051,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）
2022-05-08,payment,クルマ,ガソリン,-,-,,,-,（プレミアム会員で表示）,0,2000,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）
2022-05-08,payment,交際費,飲み会,-,-,,,-,（プレミアム会員で表示）,0,2300,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）
2022-05-08,payment,その他,積立NISA,-,-,,,-,（プレミアム会員で表示）,0,33333,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）
2022-05-09,payment,エンタメ,漫画,-,-,,,-,（プレミアム会員で表示）,0,529,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）
2022-05-10,payment,食費,食料品,-,-,,,-,（プレミアム会員で表示）,0,384,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）
2022-05-11,payment,エンタメ,漫画,-,-,,,-,（プレミアム会員で表示）,0,608,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）
2022-05-12,payment,食費,食料品,-,-,,,-,（プレミアム会員で表示）,0,316,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）
2022-05-12,payment,教育・教養,Udemy,-,-,,,-,（プレミアム会員で表示）,0,1000,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）
2022-05-13,payment,水道・光熱,ガス料金,-,-,,,-,（プレミアム会員で表示）,0,15354,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）
2022-05-14,payment,美容・衣服,美容院,-,-,,,-,（プレミアム会員で表示）,0,3000,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）
2022-05-14,payment,交際費,飲み会,-,-,,,-,（プレミアム会員で表示）,0,3300,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）
2022-05-14,payment,交際費,飲み会,-,-,,,-,（プレミアム会員で表示）,0,1000,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）
2022-05-14,payment,エンタメ,"カラオケ ボーリング",-,-,,,-,（プレミアム会員で表示）,0,2500,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）
2022-05-15,payment,食費,食料品,-,-,,,-,（プレミアム会員で表示）,0,1280,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）
2022-05-15,payment,美容・衣服,洋服,-,-,,スーツ,-,（プレミアム会員で表示）,0,9960,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）
2022-05-15,payment,住まい,家具,-,-,,,-,（プレミアム会員で表示）,0,523,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）
2022-05-15,payment,食費,食料品,-,-,,,-,（プレミアム会員で表示）,0,777,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）
